pve estimate =0.0106089	se(pve) =0.0198806
pve estimate =0.0284388	se(pve) =0.0585694
pve estimate =9.9999e-06	se(pve) =0.117422
pve estimate =9.9999e-06	se(pve) =0.0282891
pve estimate =9.9999e-06	se(pve) =0.0473043
pve estimate =0.0127166	se(pve) =0.044317
pve estimate =9.9999e-06	se(pve) =0.0200628
pve estimate =9.9999e-06	se(pve) =0.147038
pve estimate =9.9999e-06	se(pve) =0.0806328
pve estimate =9.9999e-06	se(pve) =0.0476102
pve estimate =0.0678297	se(pve) =0.0710892
pve estimate =0.0489856	se(pve) =0.0699489
pve estimate =9.9999e-06	se(pve) =0.0439477
pve estimate =9.9999e-06	se(pve) =0.210622
pve estimate =9.9999e-06	se(pve) =0.0797978
pve estimate =9.9999e-06	se(pve) =0.0461612
pve estimate =9.9999e-06	se(pve) =0.0343562
pve estimate =9.9999e-06	se(pve) =0.0476773
pve estimate =0.0147685	se(pve) =0.0341064
pve estimate =9.9999e-06	se(pve) =0.0496378
pve estimate =9.9999e-06	se(pve) =0.0639972
pve estimate =0.0181005	se(pve) =0.0312526
pve estimate =0.0789163	se(pve) =0.0676559
pve estimate =0.0349571	se(pve) =0.0643574
pve estimate =0.0379797	se(pve) =0.0618525
pve estimate =0.0459543	se(pve) =0.0681964
pve estimate =0.0301057	se(pve) =0.0560509
pve estimate =9.9999e-06	se(pve) =0.0178518
pve estimate =0.0129528	se(pve) =0.0581432
pve estimate =9.9999e-06	se(pve) =0.105761
pve estimate =0.0118312	se(pve) =0.0282956
pve estimate =9.9999e-06	se(pve) =0.0518115
pve estimate =0.00378016	se(pve) =0.0346663
pve estimate =9.9999e-06	se(pve) =0.023608
pve estimate =9.9999e-06	se(pve) =0.0967124
pve estimate =9.9999e-06	se(pve) =0.0719791
pve estimate =9.9999e-06	se(pve) =0.0268952
pve estimate =9.9999e-06	se(pve) =0.0399783
pve estimate =0.0153112	se(pve) =0.0580585
pve estimate =0.0138025	se(pve) =0.0240837
pve estimate =0.0187106	se(pve) =0.0477874
pve estimate =0.00675954	se(pve) =0.0391234
pve estimate =9.9999e-06	se(pve) =0.0409278
pve estimate =9.9999e-06	se(pve) =0.0752447
pve estimate =9.9999e-06	se(pve) =0.0859553
pve estimate =9.9999e-06	se(pve) =0.0218856
pve estimate =9.9999e-06	se(pve) =0.0522381
pve estimate =0.0232292	se(pve) =0.0547652
pve estimate =9.9999e-06	se(pve) =0.0351281
pve estimate =9.9999e-06	se(pve) =0.0785419
pve estimate =9.9999e-06	se(pve) =0.136646
pve estimate =0.0123026	se(pve) =0.0221577
pve estimate =0.0508602	se(pve) =0.075074
pve estimate =9.9999e-06	se(pve) =0.0973489
pve estimate =9.9999e-06	se(pve) =0.0209997
pve estimate =0.0220615	se(pve) =0.0349013
pve estimate =0.0048059	se(pve) =0.0320114
pve estimate =0.00653163	se(pve) =0.0178917
pve estimate =0.0244212	se(pve) =0.0348146
pve estimate =9.9999e-06	se(pve) =0.0487299
pve estimate =9.9999e-06	se(pve) =0.0574233
pve estimate =9.9999e-06	se(pve) =0.0778416
pve estimate =0.00772454	se(pve) =0.0458879
pve estimate =9.9999e-06	se(pve) =0.064741
pve estimate =0.039784	se(pve) =0.0583495
pve estimate =0.029744	se(pve) =0.0565882
pve estimate =9.9999e-06	se(pve) =0.0436628
pve estimate =0.0616055	se(pve) =0.0600908
pve estimate =0.0636053	se(pve) =0.0703916
pve estimate =9.9999e-06	se(pve) =0.0717416
pve estimate =9.9999e-06	se(pve) =0.0602151
pve estimate =9.9999e-06	se(pve) =0.0497607
