plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
1706,114,DZA,3,6.5,12,58.9,12.7,28,59.5,43,3.39,1.09,0.54
1707,16,DZA,3,7.1,10,50.4,11.2,35,60.6,28,4.06,1.21,0.36
1708,8,DZA,3,8.4,17,59.7,12.5,37,59.2,48,2.49,1.23,0.34
1709,16,DZA,3,7.9,7,53.9,10.2,26,52.6,30,1.97,0.82,0.37
1710,141,DZA,3,7.5,10,52.8,10.7,29,57.6,31,2.25,1.12,0.61
1711,42,DZA,3,7.2,7,42.4,11.1,18,58,54,2.61,0.81,0.35
1712,control_in,DZA,3,3.2,4,30.9,5,4,23.4,0,0,0.08,0.14
1713,710B,DZA,3,7.1,12,56,9.6,24,61.2,38,2.3,0.89,0.39
1714,749C,DZA,3,8.6,14,58.3,13.1,41,54.5,47,2,1.38,0.33
1715,146,DZA,3,9.5,7,49.4,11.5,32,63.4,57,1.46,1.05,0.43
1716,control_in,DZA,3,2.1,2,13.2,2.2,1,NA,0,0,0.012,0.012
1717,25B,DZA,3,10.4,4,41.7,15,17,47.2,119,1.02,0.41,0.25
1718,216,DZA,3,6.7,4,41.5,10.5,20,60.8,39,2.7,0.74,0.41
1719,761A,DZA,3,6.5,7,46.6,10.5,28,59.4,62,3.06,0.9,0.56
1720,123,DZA,3,10.1,10,42.8,12.4,18,62,59,3.04,1.16,0.4
1721,46,DZA,3,7.9,9,53,12.8,31,55.2,46,2.64,1.04,0.28
1722,117B,DZA,3,8,8,43.5,11.9,28,53,131,0.76,0.84,0.3
1723,144B,DZA,3,7.7,11,51.3,12.6,32,58.2,52,2.14,1.16,0.41
1724,25B,DZA,3,5.1,4,41.3,7.4,18,47.3,93,1.11,0.51,0.33
1725,422,DZA,3,9.5,11,48.8,11,35,58.3,45,2.57,1.21,0.33
1726,204,DZA,3,6.9,14,46.5,11.6,39,59,35,3.16,1.43,0.39
1727,40,DZA,3,6.1,7,43.9,11.9,22,46.7,63,1.38,0.73,0.24
1728,57,DZA,3,9.3,11,42.8,14.5,31,60.4,48,2.15,1.2,0.59
1729,79,DZA,3,0.5,2,NA,1.9,2,NA,4,1.05,0.018,0.009
